estimated_value,has_email,has_phone,days_in_pipeline,activities_count,calls,emails_sent,meetings,contact_score,activity_intensity,meeting_ratio,is_high_value,is_fresh,log_value,has_activities,source_email,source_other,source_phone,source_referral,source_social_media,source_trade_show,source_website,sector_Commerce / Retail,sector_Finance / Banque,sector_IT / Digital,sector_Immobilier,sector_Industrie / Fabrication,sector_Santé,sector_Tourisme / Hôtellerie,sector_Éducation
1.098807796846448,1.0,1.0,0.018691885337817155,1.1012348412865454,-0.8917709327244487,1.6298840138942765,0.8491040803240211,2.0,0.16838383376484375,0.42957651980756745,1.0,0.0,1.065393651533053,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19761296326708921,0.0,1.0,1.6542318523968167,-0.11784431880926131,0.2777647167502382,-0.7937353376213763,0.10099475845263688,1.0,-0.3758854498638316,0.7239592449891287,1.0,0.0,0.4932052185301424,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.5788877005506641,1.0,0.0,0.42757687710256703,1.1012348412865454,0.2777647167502382,0.014137779550507943,1.5972134021954052,1.0,0.04007381774760591,1.01834197017069,1.0,0.0,0.765440568050381,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
-1.154179287101949,0.0,0.0,1.1285225772707097,-0.9305637588731324,-0.8917709327244487,-0.7937353376213763,-0.6471145634187473,0.0,-0.5192907618830973,-0.7479543809186778,0.0,0.0,-1.6429947546559176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
-0.3916298125347993,1.0,1.0,0.07710402701849571,-0.11784431880926131,0.2777647167502382,0.014137779550507943,-0.6471145634187473,2.0,-0.25344582673627136,-0.7479543809186778,0.0,0.0,-0.07953813256448806,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-1.3274859858672103,0.0,0.0,0.2231343812201921,-0.5242040388411968,0.2777647167502382,-0.7937353376213763,-0.6471145634187473,0.0,-0.39601251119986886,-0.7479543809186778,0.0,0.0,-2.5746136494521923,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.4454211943769706,1.0,0.0,-0.7990780981916826,0.6948751212546097,-0.8917709327244487,-0.7937353376213763,2.345322724066789,1.0,0.4971258355867863,2.195872870896935,1.0,0.0,1.2336403283983826,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.49561383179395607,0.0,1.0,1.3621711439934239,1.1012348412865454,-0.8917709327244487,1.6298840138942765,0.8491040803240211,1.0,-0.1276516933860382,0.42957651980756745,0.0,0.0,-0.21186046331734457,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.4852613869685385,1.0,1.0,-0.9159023815530397,-0.11784431880926131,0.2777647167502382,-0.7937353376213763,0.10099475845263688,2.0,0.05936225152797508,0.7239592449891287,1.0,1.0,1.6399729914814012,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.098807796846448,1.0,0.0,1.1869347189513884,2.7266737214142873,3.7863716651742987,0.8220108967223922,1.5972134021954052,1.0,0.2279263902172874,0.23322324211146597,1.0,0.0,1.065393651533053,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
